2021-03-02 16:37:27.464 moyun [restartedMain] INFO  k.f.s.platform.admin.MainApplication - Starting MainApplication on kuronekodeiMac-Pro.local with PID 3437 (/Users/kuroneko/IdeaProjects/system-platform/system-platform-admin/target/classes started by kuroneko in /Users/kuroneko/IdeaProjects/system-platform)
2021-03-02 16:37:27.465 moyun [restartedMain] INFO  k.f.s.platform.admin.MainApplication - The following profiles are active: dev
2021-03-02 16:37:27.585 moyun [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-03-02 16:37:27.585 moyun [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-03-02 16:37:28.877 moyun [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2021-03-02 16:37:28.890 moyun [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 JDBC repository interfaces.
2021-03-02 16:37:29.427 moyun [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2021-03-02 16:37:29.433 moyun [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2021-03-02 16:37:29.434 moyun [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-03-02 16:37:29.434 moyun [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-03-02 16:37:29.513 moyun [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-02 16:37:29.514 moyun [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1928 ms
2021-03-02 16:37:29.863 moyun [restartedMain] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-03-02 16:37:30.388 moyun [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-02 16:37:30.621 moyun [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-03-02 16:37:30.640 moyun [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2021-03-02 16:37:30.678 moyun [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2021-03-02 16:37:30.690 moyun [restartedMain] INFO  k.f.s.platform.admin.MainApplication - Started MainApplication in 23.523 seconds (JVM running for 29.37)
2021-03-02 16:37:38.479 moyun [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-03-02 16:37:38.480 moyun [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2021-03-02 16:37:38.487 moyun [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
